timestamp,amount,running_balance,month_year,category
2022-11-22 00:00:00+00:00,-36.59,54444.6,2022-11,finances
2022-11-20 00:00:00+00:00,-150.0,54594.6,2022-11,rent
2022-11-20 00:00:00+00:00,22.42,54572.18,2022-11,taxes
2022-11-20 00:00:00+00:00,-550.0,55122.18,2022-11,business services
2022-11-20 00:00:00+00:00,359.01,54763.17,2022-11,taxes
2022-11-19 00:00:00+00:00,-20.43,54783.6,2022-11,shopping
2022-11-19 00:00:00+00:00,1450.42,53333.18,2022-11,salary
2022-11-18 00:00:00+00:00,82.21,53250.97,2022-11,finances
2022-11-17 00:00:00+00:00,123.82,53127.15,2022-11,transfer
2022-11-17 00:00:00+00:00,-10.12,53137.27,2022-11,finances
2022-11-17 00:00:00+00:00,-40.0,53177.27,2022-11,finances
2022-11-17 00:00:00+00:00,-20.0,53197.27,2022-11,transport
2022-11-17 00:00:00+00:00,-0.56,53197.83,2022-11,savings
2022-11-17 00:00:00+00:00,-2.46,53200.29,2022-11,groceries / food spend
2022-11-15 00:00:00+00:00,-32.0,53232.29,2022-11,groceries / food spend
2022-11-15 00:00:00+00:00,-0.48,53232.77,2022-11,savings
2022-11-15 00:00:00+00:00,-15.45,53248.22,2022-11,shopping
2022-11-15 00:00:00+00:00,-0.5,53248.72,2022-11,savings
2022-11-15 00:00:00+00:00,-3.59,53252.31,2022-11,shopping
2022-11-15 00:00:00+00:00,-10.0,53262.31,2022-11,shopping
2022-11-14 00:00:00+00:00,-2.0,53264.31,2022-11,entertainment
2022-11-14 00:00:00+00:00,-3.89,53268.2,2022-11,entertainment
2022-11-14 00:00:00+00:00,43.5,53224.7,2022-11,entertainment
2022-11-12 00:00:00+00:00,-0.41,53225.11,2022-11,savings
2022-11-12 00:00:00+00:00,-33.84,53258.95,2022-11,transport
2022-11-11 00:00:00+00:00,57.51,53201.44,2022-11,finances
2022-11-11 00:00:00+00:00,54.59,53146.85,2022-11,transfer
2022-11-11 00:00:00+00:00,22.97,53123.88,2022-11,taxes
2022-11-11 00:00:00+00:00,-20.55,53144.43,2022-11,holidays
2022-11-10 00:00:00+00:00,-40.0,53184.43,2022-11,finances
2022-11-10 00:00:00+00:00,-5.37,53189.8,2022-11,groceries / food spend
2022-11-10 00:00:00+00:00,40.0,53149.8,2022-11,transfer
2022-11-10 00:00:00+00:00,50.36,53099.44,2022-11,finances
2022-11-10 00:00:00+00:00,-35.26,53134.7,2022-11,transfer
2022-11-10 00:00:00+00:00,-24.5,53159.2,2022-11,bills and utilities
2022-11-09 00:00:00+00:00,-23.37,53182.57,2022-11,transport
2022-11-09 00:00:00+00:00,-20.56,53203.13,2022-11,taxes
2022-11-09 00:00:00+00:00,-0.41,53203.54,2022-11,savings
2022-11-09 00:00:00+00:00,91.27,53112.27,2022-11,transfer
2022-11-08 00:00:00+00:00,-0.01,53112.28,2022-11,savings
2022-11-08 00:00:00+00:00,22.64,53089.64,2022-11,taxes
2022-11-08 00:00:00+00:00,-14.99,53104.63,2022-11,fees and charges
2022-11-08 00:00:00+00:00,-100.0,53204.63,2022-11,rent
2022-11-08 00:00:00+00:00,-10.0,53214.63,2022-11,entertainment
2022-11-08 00:00:00+00:00,-0.74,53215.37,2022-11,savings
2022-11-08 00:00:00+00:00,-1.04,53216.41,2022-11,savings
2022-11-08 00:00:00+00:00,-24.31,53240.72,2022-11,groceries / food spend
2022-11-07 00:00:00+00:00,-82.37,53323.09,2022-11,bills and utilities
2022-11-07 00:00:00+00:00,-1.02,53324.11,2022-11,savings
2022-11-07 00:00:00+00:00,-82.28,53406.39,2022-11,transfer
2022-11-06 00:00:00+00:00,-25.1,53431.49,2022-11,bills and utilities
2022-11-06 00:00:00+00:00,22.42,53409.07,2022-11,taxes
2022-11-06 00:00:00+00:00,-12.89,53421.96,2022-11,groceries / food spend
2022-11-06 00:00:00+00:00,-43.65,53465.61,2022-11,bills and utilities
2022-11-06 00:00:00+00:00,-5.59,53471.2,2022-11,home and garden
2022-11-06 00:00:00+00:00,370.67,53100.53,2022-11,taxes
2022-11-06 00:00:00+00:00,190.84,52909.69,2022-11,transfer
2022-11-06 00:00:00+00:00,97.17,52812.52,2022-11,transfer
2022-11-06 00:00:00+00:00,-0.01,52812.53,2022-11,savings
2022-11-06 00:00:00+00:00,-5.0,52817.53,2022-11,shopping
